,avg_area_income,house_age,number_of_rooms,number_of_bedrooms,area_population,price,street,zip_code,state,city,is_military
17,61929.08,4.8,5,4,24595.902,528485.247,5498 Rachel Locks,54755,PW,New Gregoryshire,0
18,63508.19,5.9,7,5,35719.653,1019425.937,Unit 7424 Box 2786,71255,AE,DPO,1
19,62085.28,5.7,7,5,44922.107,1030591.429,19696 Benjamin Cape,36952-4733,ME,Stephentown,0
20,86295.0,6.6,8,4,47560.775,2146925.34,030 Larry Park Suite 665,87941-5197,HI,Thomashaven,0
21,60835.09,5.6,6,2,45574.742,929247.6,USNS Brown,85833,AP,FPO,1
22,64490.65,4.2,5,4,40358.96,718887.232,95198 Ortiz Key,24541-2855,TN,Port Sara,0
23,60697.35,6.2,7,6,28140.967,743999.819,9003 Jay Plains Suite 838,90622-0804,IN,Lake Elizabeth,0
24,59748.86,5.3,7,4,27809.987,895737.133,24282 Paul Valley,03169-5806,MI,West Perry,0
25,56974.48,8.3,7,4,40694.87,1453974.506,61938 Brady Falls,61227,DE,Lewisfort,0
26,82173.63,4.0,6,2,38853.918,1125692.507,3599 Ramirez Springs,72798,AZ,Jacksonhaven,0
27,64626.88,5.4,6,4,27784.742,975429.493,073 Christopher Falls Suite 882,89075-2814,MA,West Cynthia,0
28,90499.06,6.4,4,3,33970.165,1240763.766,6531 Chase Prairie Apt. 245,22365,MN,Susanshire,0
29,59323.79,7.0,8,4,37520.658,1577017.76,17124 Johnson Squares,61811-3832,AL,Lake Robertfurt,0
30,77811.52,5.3,6,3,33754.738,1246830.188,1359 Mitchell Vista,93065-7224,NY,Courtneyfort,0
31,68652.61,6.1,6,4,39355.626,1170720.894,4343 Joshua Lake Suite 096,62614-9110,NV,Pierceview,0
32,55041.35,7.1,8,5,30122.473,1071279.21,0057 Jacob Coves Apt. 932,39465-6041,VA,Lake Emily,0
33,50218.71,6.1,7,6,16810.783,534305.132,039 Jordan Pike,27442,ID,Emilyville,0
34,55909.32,5.4,9,6,22355.235,936368.963,66338 Novak Curve Suite 628,87142-6766,OK,Taylorborough,0
35,74372.81,5.5,6,2,39395.151,1199193.831,7167 Angela Park Suite 013,66937-4811,NH,Morrishaven,0
36,78667.9,5.5,7,4,27637.657,1233220.009,34964 Sara Fields Apt. 584,63585,MO,Port Raymondville,0
37,78699.52,5.7,6,3,22836.608,1081150.125,7585 Lynn Loop,73336,WV,East Judy,0
38,53128.19,5.2,5,2,32947.712,524712.766,Unit 1388 Box 9350,70848,AP,DPO,1
39,17796.63,4.9,6,2,47162.184,302355.836,9932 Eric Circles,34611-6127,WY,Lake Martha,0
40,58566.85,6.6,5,2,39705.465,1026817.4,7896 Walker Spring,72956,MH,Loriport,0
41,75537.79,7.8,7,6,32778.195,1762214.68,549 Darren Plaza,27155,UT,Lake Kevin,0
42,46147.05,6.6,7,4,27161.129,882057.171,90634 Michelle Valleys,99370,WV,North Victoria,0
43,70421.48,6.9,7,4,43183.928,1744932.211,580 Lara Neck Apt. 541,34638-9802,ID,Davidsonstad,0
44,62614.42,5.5,7,6,26888.58,1153871.47,43087 Jerome Field,49213,SD,West Deborah,0
45,66394.87,7.1,7,3,39741.078,1499988.88,71956 Jenkins Fall,67485-0764,PW,Brooketown,0
46,73946.85,4.9,7,6,35261.127,1109588.38,8034 Pierce Prairie Suite 727,33104-8027,NE,Devonfurt,0
47,69144.75,7.3,5,3,19030.615,980177.305,Unit 8108 Box 5159,04678,AP,DPO,1
48,77278.7,6.2,6,2,21725.954,1323952.027,08639 Garcia Port,17971,CT,Anthonybury,0
49,86754.2,6.6,6,4,43017.441,1662494.736,91863 Curtis Point,99996-7554,AK,New Richard,0
50,74399.84,6.4,7,6,41084.663,1417819.74,03819 Lee Junction Suite 046,19656,WA,Mooneyborough,0
51,49408.2,5.8,5,3,26881.131,549976.146,7796 Joseph Burg,70370,RI,Danielsside,0
52,62279.79,6.1,6,4,35263.653,1054770.981,173 Mendoza Land,57690,NJ,West John,0
53,73078.2,5.9,6,3,54915.962,1415647.553,3288 Lee Pass,02759-4964,PW,South Julieton,0
54,72942.71,4.8,7,6,24377.909,948788.276,86908 Marshall Port Suite 252,69143,NM,Scotttown,0
55,63819.62,5.9,8,4,27825.572,1159596.519,951 Bryant Dale Suite 735,95266,NH,Lake Jacqueline,0
56,73265.45,8.3,7,3,21030.966,1547133.396,00301 Bradshaw Avenue Suite 833,00654-8754,IN,Suzannefurt,0
57,68488.13,6.1,7,5,18267.955,1186688.506,84473 Ochoa Pines Apt. 808,70207-2955,KY,Jamesport,0
58,55193.86,7.2,5,4,32537.819,772111.972,13706 Morgan Turnpike Suite 378,42699,NC,Hohaven,0
59,77434.69,6.3,5,3,36252.341,1172730.156,4872 Delgado Ramp,36544,IA,North James,0
60,66158.88,4.5,6,2,37098.742,1111085.017,73202 Christopher Tunnel,08925-1536,MN,New Roberttown,0
61,60502.91,7.5,5,4,33579.632,1022781.171,8781 Olivia Port Apt. 225,22884,VT,Thompsonside,0
62,60910.89,5.6,7,4,43347.804,1274474.546,"PSC 9354, Box 0703",58696-1278,AA,APO,1
63,73931.98,6.4,4,4,36543.067,1213530.85,271 Johnson Hills Apt. 001,70847,FM,Mcculloughfurt,0
64,59539.95,6.0,7,5,58600.827,1411730.477,122 Russo Neck,20712-5282,KY,South Kevin,0
65,56547.51,5.4,6,3,37585.275,858685.566,85225 Christopher Inlet Apt. 627,76460,KS,West Calebberg,0
66,65950.35,5.5,6,3,40110.848,1200961.821,7125 Mullins Cliff,66971,WY,Maryborough,0
67,74533.16,6.7,5,4,49481.566,1520234.229,905 Lane Pines Suite 348,57196-3319,DE,Brownborough,0
68,66422.92,7.1,7,6,31019.325,1360908.32,61090 Griffith Ridges,28807-8602,AK,Craigstad,0
69,74334.49,5.4,6,4,41640.436,1360920.53,270 Jennifer Loop Suite 343,60570-1483,ND,South Jesse,0
70,63538.35,4.8,7,3,43282.183,1146532.455,10973 Clark Trafficway,63237,LA,Meyersbury,0
71,83953.1,7.4,6,3,37283.358,1789098.521,91733 Baker Orchard,37301,KS,South Kyle,0
72,57279.06,5.1,6,3,44023.791,852099.464,024 William Course,69073-3104,DE,East Charlotteview,0
73,56553.55,5.7,7,3,29682.41,746096.729,"PSC 4455, Box 3268",45454,AP,APO,1
74,75795.58,5.8,7,6,33197.778,1534479.907,562 Brown Junction Suite 282,20719,KS,Christopherborough,0
75,70848.79,5.3,6,3,40458.736,1215608.531,USCGC Thompson,13237-3887,AA,FPO,1
76,59787.4,5.7,6,3,32402.108,941594.328,65884 Johns Valley Apt. 621,07783,NY,Ethanbury,0
77,64826.37,4.0,8,4,60286.043,1204598.037,Unit 2139 Box 3667,49517,AP,DPO,1
78,65925.85,7.6,7,3,34171.36,1597655.258,253 Golden Island,91882,CT,East Donald,0
79,64419.25,7.0,8,6,39318.171,1492011.496,4861 Steven Plains Suite 066,06152-7205,MN,Port Reginaland,0
80,58544.46,8.6,7,4,30865.587,1421216.504,5255 Rebecca Junctions Suite 240,85782-2398,WI,Royshire,0
81,68791.79,4.7,6,4,48423.322,1132522.901,2833 Townsend Cliffs,86130-3426,MP,New Tommy,0
82,82061.57,4.2,5,4,36271.408,1102821.438,708 Pena Ramp,31572-1304,CA,Terryburgh,0
83,80659.53,5.4,7,6,52947.036,1856211.35,8030 Ruiz Dale,56950-5684,KY,Shermanchester,0
84,66668.09,6.2,7,3,47075.212,1687998.933,Unit 3857 Box 9497,92239,AE,DPO,1
85,64721.56,5.7,6,4,36115.816,1063423.007,042 Mitchell Mountains,44424,OR,Adamsview,0
86,65199.99,6.4,6,3,28366.035,1177289.886,07420 Victoria Trail Apt. 904,86759,OR,Port Kevinbury,0
87,74579.99,4.6,5,3,42806.147,1173474.379,38449 Shaw Glen,98415,TX,Pattonside,0
88,76273.67,7.9,4,3,46974.579,1637259.999,82387 Hensley Bypass,30791,ME,Danielmouth,0
89,67561.94,5.3,7,4,35517.542,1238938.291,02304 Brandon Stravenue Apt. 231,36688,ID,Cordovabury,0
90,48904.98,4.8,5,3,32960.753,201898.087,2124 Garcia Viaduct,30864,DC,North Kellytown,0
91,72145.97,6.4,8,6,28882.901,1439506.102,646 Nicholas Mall Apt. 058,53708,OR,East Danielle,0
92,70805.61,4.4,5,3,29268.827,585608.633,874 Laura Throughway Suite 350,94284-9448,PW,Port Michaelberg,0
93,65383.34,7.5,6,3,35114.402,1294685.159,7373 Hart Brooks Apt. 168,72679-9159,PR,East Christianside,0
94,95450.29,6.6,6,3,39388.516,2014851.344,035 Mark Bridge,78649,MT,West Craig,0
95,73698.7,6.4,6,4,51815.096,1840236.006,69600 Wilson Rue,17767-2884,PW,Elizabethland,0
96,66263.91,6.4,6,4,49829.952,1441421.913,001 Steve Plaza,25190,UT,Jessicastad,0
97,75394.76,6.9,7,4,22268.075,1498640.551,238 Anthony Drive,62753-6637,AS,Acostahaven,0
98,65984.75,6.5,6,2,21867.477,954746.576,01818 Wilson Spurs,69568-7005,SD,West Andreaton,0
99,66477.26,7.0,6,2,32458.987,1124635.932,95779 Walton Square,49599,PR,Bakershire,0
100,69284.26,5.3,7,3,40282.724,1169944.248,124 Russell Mountains Apt. 591,67836-4969,OH,North Sharonfurt,0
101,70404.5,5.5,6,2,37127.926,1114430.953,73080 Veronica Turnpike Suite 991,61246,VA,New Debra,0
102,74218.49,8.1,6,4,46770.661,1783534.839,106 Williams Well Apt. 657,87811,PR,Samanthaview,0
103,63441.71,6.5,7,3,48061.753,1302933.248,Unit 3405 Box 4348,68816-2990,AP,DPO,1
104,57493.92,6.9,6,4,47039.215,1241483.612,4007 Kimberly Crossing,72093-8287,NC,Nathanielview,0
105,81543.78,5.5,5,2,9816.301,954114.544,Unit 5889 Box 7282,41177-0399,AE,DPO,1
106,78633.97,5.5,7,3,43728.803,1555320.5,075 Andrea Green Suite 201,50389,KS,Johnshire,0
107,52202.85,4.9,4,2,42165.812,404976.366,6811 Spears Trail Suite 081,43910,MS,East Troy,0
108,67980.39,5.6,6,2,25909.079,1073183.76,69401 Danielle Motorway,53971,IL,New Dennis,0
109,78568.45,5.5,6,2,41016.647,1422195.879,2276 Riley Flats Suite 975,39983,NH,Johnmouth,0
110,55472.65,4.8,5,3,15353.956,340605.211,91111 Crane Spur,43022-3191,ME,Kathleenmouth,0
111,67579.23,6.0,7,6,21762.95,1170959.526,744 Hill Ports,20945-2825,MH,Mooreside,0
112,61456.15,6.9,6,4,30821.412,942838.165,019 Lisa Village Apt. 379,26176,DE,Maxwellmouth,0
113,60815.39,7.2,7,4,31233.649,1401613.92,50933 Barber Divide Suite 927,46696-1788,NE,Jacksonborough,0
114,51217.18,5.4,8,3,47089.475,1175504.486,USS Harrington,12326,AE,FPO,1
115,63027.67,4.9,5,2,35991.721,608794.247,246 Michele Lock Suite 093,62800,VI,South Michellemouth,0
116,62484.86,6.5,7,5,26882.652,946943.036,356 Madeline Locks Apt. 115,49150-0243,MS,Kaitlinland,0
117,73923.47,7.0,7,6,58745.312,1819900.637,232 Allen Ridge,93021,CT,West Jasonview,0
118,79737.61,7.3,6,2,28307.314,1463130.273,5042 Ricky Road,40661-8809,MN,New Candice,0
119,63890.47,5.0,7,5,43416.498,1252391.18,60860 Griffin Streets Apt. 040,18346,NH,East Catherine,0
120,67310.04,7.2,7,5,43310.612,1714445.175,89002 Robert Square Suite 028,38546-6307,CA,Port Jennyside,0
121,73145.73,4.1,7,3,49463.379,1291759.393,8533 Sparks Lodge,98179,GA,New Kevin,0
122,86924.36,6.8,7,6,28719.411,1809154.289,922 Mark Lodge,71131-3139,ID,Matthewton,0
123,74384.11,7.4,5,2,17117.444,1200539.361,757 Sherri Shores Suite 744,73052-4985,OK,Jesusfurt,0
124,67477.79,6.6,7,5,29763.925,1300265.21,"PSC 8479, Box 0952",33741,AA,APO,1
125,71202.96,4.3,6,4,34207.397,997448.728,5560 Michaela Spur Suite 730,00463,PA,West Charlottefurt,0
126,85845.32,6.7,9,3,46477.679,2152959.409,255 Sosa Pines Suite 751,31615,MT,Wilsonview,0
127,72138.87,7.2,8,5,35799.638,1629983.847,156 Conner Lane,26733,MI,East Brittany,0
128,44806.01,4.5,4,3,57390.89,497579.447,478 Vasquez Fort Apt. 346,37124-6408,NV,Aliciaside,0
129,67504.18,5.3,5,4,37441.121,890112.549,67610 Smith Knolls,55188-7972,MA,Brendaberg,0
130,74706.1,5.0,5,2,39680.609,1064685.699,504 Robertson Streets,56754,WA,Jamesshire,0
131,68898.35,6.8,7,6,39515.572,1530124.016,777 Ross Crossroad,24445,RI,Kaiserville,0
132,58118.02,8.1,5,4,35598.39,1246246.828,2418 Samantha Green Apt. 016,62207-0408,VT,Port Keithmouth,0
133,77643.28,6.1,5,4,35512.255,1240754.932,95957 Tara Hill Suite 428,57002-5552,KS,Huntland,0
134,67769.83,8.1,6,4,33254.603,1760734.69,26906 Simmons Underpass Suite 444,13101,DC,Port Tinashire,0
135,74411.06,5.5,7,6,43537.503,1393746.76,4930 James Flats,75829-8040,NJ,New Shannon,0
136,73101.08,4.1,8,4,29497.971,1172385.898,78212 Turner Ville Apt. 217,47353-3682,MP,West Lauraberg,0
137,58708.42,5.1,6,4,15969.926,483986.109,33410 Smith Summit,49785-3758,CT,West Kimberlyberg,0
138,63876.06,7.1,7,3,38052.876,1388530.157,49940 Ramirez Mission Suite 136,95291-3904,MD,West Bryan,0
139,68343.15,6.4,8,6,40653.87,1721739.384,4746 Morgan Forge,79978,VT,Diaztown,0
140,73064.98,6.0,7,6,30699.34,1276448.792,5808 Burton Viaduct,32392-1208,CO,North Nicholasport,0
141,67367.27,6.8,6,2,32547.273,1161742.677,8093 Lara Overpass Apt. 364,30264,NV,Lake Brookebury,0
142,66547.18,6.4,5,2,16741.965,786407.945,249 Susan Canyon,13412,ID,North Jessica,0
143,73313.55,6.4,8,4,37808.997,1604920.973,08091 Bush Course,47524-7511,RI,New Michael,0
144,47681.36,6.9,7,5,50908.979,1230149.137,"PSC 6933, Box 3805",50576,AP,APO,1
145,67910.95,6.4,6,4,31379.783,1051644.554,6798 Smith Junctions,86565-5079,WY,Wolfeton,0
146,69277.89,6.1,7,5,43717.913,1415073.614,256 Sanchez Ports Apt. 057,69763,PA,Johnmouth,0
147,67946.71,5.4,5,3,35197.943,1043483.915,68672 Guzman Ridge,04078-6179,WI,Clinefurt,0
148,90975.11,4.7,8,6,44426.214,1544379.748,4447 Steven River Suite 076,61561-8593,DC,West Karenmouth,0
149,61885.55,5.4,6,3,48726.951,1352135.967,USCGC Hess,29193,AE,FPO,1
150,69401.85,7.0,8,3,29293.074,1505727.431,0617 Neal Curve,09326,AS,South Daniel,0
151,72969.12,6.2,8,4,31755.721,1416965.979,412 Janet Radial Suite 115,37073-8343,NY,Kariview,0
152,75582.46,5.5,6,4,31946.304,1046721.976,9155 Kayla Station Suite 233,99093-8399,SC,Natalieborough,0
153,56241.23,5.6,6,2,32745.368,939040.004,3062 Donald Inlet Suite 642,49340,GU,West Matthew,0
154,79412.84,6.1,7,3,17568.734,1383031.332,764 Timothy Turnpike,02395,TX,North Audreymouth,0
155,79618.24,4.6,6,3,29636.507,1072503.238,862 Ryan Flat,11517,WV,West Larryborough,0
156,67019.07,6.5,7,6,24997.109,1134397.758,378 Evans Crest,23326,HI,East Shelbystad,0
157,56063.48,5.1,5,4,39129.297,734827.508,09897 Katherine Forge,01211,NC,North Johnside,0
158,57077.58,5.8,6,4,33393.917,991892.318,2367 Noah Center,99619-0890,PA,North Dakotashire,0
159,75954.82,4.3,7,5,34467.759,1057252.583,19678 Noble Cove Suite 264,13304-1647,CO,South Elizabethfort,0
160,52575.82,7.1,7,4,41828.58,1237224.859,8803 Jackson Ramp,09631-6361,RI,South Thomasland,0
161,63312.81,6.1,8,4,43230.352,1442632.541,87629 Shawn Crossing,71601-6188,MN,North William,0
162,82526.96,6.5,7,4,43947.68,1877402.32,2574 Shannon Alley,64217,OR,South Fred,0
163,73204.94,6.6,7,6,35090.501,1394518.415,676 Jose Locks Apt. 415,89264,SC,South Cynthia,0
164,56357.19,5.7,5,3,38061.998,953939.33,4160 Martinez Bridge Apt. 713,89447-0160,MI,West Ann,0
165,71316.62,7.1,7,5,21651.699,1219778.034,26847 Weber Ports Apt. 767,43014,FM,North Robinton,0
166,75046.85,5.0,8,3,32468.031,1287325.382,"PSC 8891, Box 6475",28726-5123,AP,APO,1
167,84474.16,7.0,5,2,38677.815,1739893.555,623 Jackson Road Apt. 492,19973,NM,Sarahville,0
168,68162.68,7.0,6,3,31843.876,1213382.223,0575 Edward Cliff,06408,NY,Miguelmouth,0
169,62784.33,7.6,4,3,35122.389,1007478.748,6660 Alex Park,52781,WY,Barkerfort,0
170,67009.82,6.8,7,3,39737.123,1528756.126,176 Parker Grove Apt. 591,83183-5326,MO,Nicoleshire,0
171,67437.25,6.8,6,2,29356.223,1182459.772,203 Amy Ford Suite 158,49990-9626,LA,Kelleyfurt,0
172,65967.77,6.8,7,3,35799.963,1474546.762,842 Jackson Parkway,68188-8699,MI,Angelabury,0
173,42816.31,7.6,7,4,47457.662,1078016.94,5339 Charles Road Apt. 570,36295-7649,PR,East Angelicastad,0
174,83347.67,5.5,5,3,48226.719,1453381.624,0647 Ramirez Hill,33060,AZ,New Crystalport,0
175,81699.88,5.5,6,4,39527.049,1495012.965,4233 Chase Fields,85375-7861,OR,East Vanessabury,0
176,56143.79,4.6,6,4,45084.037,714148.415,0606 Ricardo Drive,79243,GU,Williamton,0
177,59513.83,4.9,5,3,44162.279,894292.047,14157 Jones Parkway Suite 319,18534,AK,North Haley,0
178,78379.41,6.0,5,3,31357.388,1159841.831,2579 Pamela Shoals,95259,TX,North Christianhaven,0
179,70877.38,6.8,7,5,36033.427,1195986.299,"PSC 5171, Box 6452",44610-4655,AA,APO,1
180,61526.97,6.6,9,6,27307.948,1381430.63,23682 William Glens Apt. 920,20067,CO,Lake Hollystad,0
181,65317.0,7.4,6,2,55799.497,1534889.853,32521 Martinez Highway,78577,NY,Stephaniehaven,0
182,76268.82,6.9,6,3,38649.852,1494125.33,9109 Omar View Suite 461,02969,WI,East Sarahfort,0
183,48531.36,6.9,8,5,39731.151,1356146.261,5611 Chandler Mill,51236-0093,AK,East Brianfort,0
184,82906.65,5.9,5,4,38820.482,1454943.074,"PSC 5599, Box 5942",55563-1953,AP,APO,1
185,63117.84,4.9,5,2,43091.845,774118.188,2128 Shawna Orchard Suite 992,22338,MN,New Melissabury,0
186,75860.86,3.7,4,3,41003.88,889113.239,019 Moore Center Apt. 643,54923,KY,West John,0
187,68844.76,4.9,6,3,48392.497,1211102.211,Unit 3192 Box 6415,76779-7624,AP,DPO,1
188,52446.27,5.7,7,3,32934.553,658646.185,20185 Mary Crest,91892,VI,South Reneeville,0
189,69342.71,5.8,7,3,37082.374,1400104.871,18067 Williams Roads Suite 683,76227,CO,South Christineton,0
190,55932.05,7.2,6,4,42488.31,1262017.792,089 Wilson Forks Suite 185,98785-6132,PA,East Gina,0
191,53306.92,4.6,6,2,39063.339,553077.213,9643 Oscar Valley,14629-9980,ME,North Richardstad,0
192,56976.55,6.1,7,3,46375.502,1203247.89,46619 Morgan Squares,70548,FM,Stevenfurt,0
193,51296.49,6.2,7,6,32078.907,1115323.015,407 Silva Inlet Apt. 301,73414,SC,East Carolmouth,0
194,63995.0,7.6,7,5,24748.268,1301881.417,USCGC Friedman,57606-0743,AE,FPO,1
195,71915.15,6.3,5,4,27714.294,1006687.387,038 Anderson Club Suite 485,22267,MA,Richardsonfort,0
196,62137.6,5.4,7,5,19045.62,749383.073,014 Shaun Gardens,08110,HI,Lake Todd,0
197,78050.97,5.2,6,4,27789.749,1075596.587,2606 Stout Inlet,59596-5906,SC,Port Brenda,0
198,67371.42,5.3,6,4,24797.765,739870.794,94952 Hall Cliffs Suite 366,23902,MT,West Jessica,0
199,59362.77,7.5,8,3,44723.354,1442945.145,8581 Johnson Ranch Apt. 905,08716-8228,MH,Jacquelinefurt,0
200,57003.11,7.0,6,3,29594.693,828497.067,089 Jessica Dale,59364,PW,West Melissa,0
201,68989.31,6.1,7,6,32629.604,1373290.861,USNS Hamilton,90003,AA,FPO,1
202,70969.9,4.9,6,3,24833.646,925566.331,8016 Hicks Alley Apt. 735,73615-4795,WV,Nicoleside,0
203,82251.65,7.7,7,6,18408.799,1552536.764,04952 Michael Terrace Apt. 414,56924-1868,GA,Port Tammy,0
204,71306.46,5.8,6,2,43284.397,1335904.501,3890 Hunt Trail,04793,OR,Davidhaven,0
205,70921.57,5.7,6,3,29390.217,960808.291,8398 Sanchez Gateway Suite 937,32814,PA,Mccoyburgh,0
206,70739.46,6.7,7,6,35148.668,1405933.019,67095 Jeffrey Islands Suite 573,33061-9433,MI,West Elizabeth,0
207,58097.84,6.4,6,3,19903.0,619087.694,31995 Moore Brook,19787,MO,New Melissa,0
208,51273.51,7.0,6,2,53811.895,1329273.228,Unit 5683 Box 5483,78774-2982,AA,DPO,1
209,76326.59,5.0,4,3,42779.831,1261843.844,77194 Carlson Causeway Apt. 904,70976,KY,West John,0
210,63584.05,5.8,6,4,46340.189,1175781.418,73601 Donaldson Squares,73473,VI,Port John,0
211,86340.29,4.9,6,3,35630.56,1437053.557,6864 Michelle Field Apt. 339,99033,KY,Madisonmouth,0
212,79471.24,5.9,8,6,36616.169,1594415.226,35165 Haley Falls Suite 341,29143-4442,VT,South Elizabeth,0
213,55879.5,6.4,5,2,37360.064,931357.995,54993 James Place Suite 797,86457-1211,CA,South Kenneth,0
214,40503.54,6.9,6,3,45979.478,798639.654,6799 Downs Plaza,17910-5241,NH,Randallberg,0
215,83394.41,5.6,5,2,30487.525,1451739.625,79098 Brandon Island Suite 624,35281-8110,MA,Horneshire,0
216,64501.23,6.0,7,5,43869.31,1278991.689,8173 Rush Wells,56356,MS,New Stephanie,0
217,59569.54,6.3,7,4,31294.652,885920.553,762 Corey Landing Suite 528,48958,AZ,Billymouth,0
218,69280.32,6.9,6,4,40290.911,1425632.542,077 Laura Curve,15138,AZ,New Christopherview,0
219,66342.49,5.9,6,3,11792.815,901881.743,5342 Dean Overpass,08613,MI,Matthewville,0
220,73367.05,6.2,9,5,23684.788,1521730.791,469 William Shore Suite 726,47720,MP,South Krystalchester,0
221,57122.22,5.7,5,2,41972.772,716771.006,566 Brown Grove Apt. 886,87042-1285,IN,Cardenasmouth,0
222,61978.85,7.9,8,5,56957.188,1696717.107,017 Bowers Field,15934-8122,OK,Williamsstad,0
223,54299.97,6.6,6,2,39512.664,819598.008,05946 Wong Spur,67746-2473,NY,Susanshire,0
224,71424.41,5.6,8,3,37242.562,1584213.957,9297 Cole Highway,02945-8988,DC,Patrickhaven,0
225,57353.15,8.1,5,4,16906.422,798892.515,88404 William Cape Apt. 249,21219-3496,MA,Dawsonhaven,0
226,44731.11,4.2,8,5,39633.473,601973.002,4896 Jennifer River Apt. 180,77619-4214,MN,Shafferberg,0
227,76175.49,4.5,9,4,30760.995,1456486.293,82014 Stanton Gardens Suite 664,86197-4191,DC,Lake Dawnborough,0
228,66574.71,5.6,6,2,69575.449,1702406.039,551 Macdonald Viaduct,55360,TN,West Stephanie,0
229,91731.15,5.2,7,6,33102.095,1566471.008,860 Thompson Skyway Suite 901,37353-5106,AR,Kimshire,0
230,75487.03,6.5,7,4,41105.391,1592210.176,5036 Peterson Throughway,08456-4696,GA,East Megan,0
231,58088.44,6.0,5,4,51925.412,937628.347,Unit 5584 Box 2763,40544,AE,DPO,1
232,76319.22,6.9,6,3,48026.308,1558547.578,09437 Carolyn Mountain,70608-7504,CA,Knappview,0
233,60575.16,5.9,6,2,32158.968,1156329.274,5052 Chloe Lights Apt. 374,81431,IA,North Scott,0
234,69607.13,7.1,7,3,34609.04,1514349.692,8781 Robert Lakes Suite 880,51813,ID,East Wendy,0
235,67056.84,5.2,7,5,25134.681,1039107.326,3440 Cannon Lakes,60324-0399,WA,Port Melaniehaven,0
236,60640.93,5.2,5,2,43119.541,809089.672,0956 Isabella Lodge,64441,CO,East Valeriefurt,0
237,69031.91,5.8,5,3,15660.403,675536.392,36736 Kristi Radial,35292-9269,ID,Port Carl,0
238,80356.21,4.7,9,5,16215.417,1373589.804,10492 Reed Track,78774-8363,IA,North Ericstad,0
239,60081.18,6.8,8,4,60195.746,1690091.019,Unit 6269 Box 9041,13073,AE,DPO,1
240,61881.48,6.5,7,5,35597.373,1253370.149,1486 Elizabeth Plains Apt. 235,73729-5878,MD,New Cynthia,0
241,59590.97,6.9,5,2,24153.883,774073.562,239 Anna Locks Suite 853,31515-2260,GA,Lisaland,0
242,89831.32,5.2,7,6,45335.36,1741959.834,77610 Evan Field Apt. 712,30751,WI,West Shannonland,0
243,72175.28,7.4,6,2,50305.795,1705762.788,11385 Thomas Ford,01691-9923,HI,New Karinaton,0
244,67589.05,6.2,6,2,33203.384,1071109.917,385 Barnes Lock Suite 561,74310,NJ,Lake Kellytown,0
245,77300.03,5.3,6,4,29499.041,1118047.991,039 Chan Meadows,78068,TN,South Amandahaven,0
246,65382.89,5.4,7,6,41723.055,1165253.033,945 Schneider Villages Apt. 519,36371-1622,ID,West Brittneyburgh,0
247,71145.21,6.2,6,2,35642.53,1280910.19,15288 Steven Extensions Suite 209,87707-6205,KS,Zacharybury,0
248,61053.04,5.8,5,2,40675.774,841122.882,8559 Cooper Cove Suite 935,81147-6595,NE,Katherinemouth,0
249,65125.95,5.9,7,4,37642.785,1228810.745,90043 White Lane Apt. 673,67265,DE,Williamburgh,0
250,51949.3,6.2,8,5,35336.063,1086072.071,40094 Yates Lodge Suite 008,87592-4342,LA,Fergusonborough,0
251,75897.99,5.3,6,3,34162.671,1204372.295,17853 Michael Motorway,28095,MH,Danielfurt,0
252,71468.35,6.2,6,3,43269.033,1345004.12,48466 Brown Port Apt. 116,28752,CO,South Chelseatown,0
